Suburb,Towncenter,Postcode,Latitude,Longitude,Nearest,Median Price
Acton,North Canberra,2601,-35.2852323,149.1129681,2.921056703171762,3044.7333344232666
Ainslie,North Canberra,2602,-35.2621952,149.14788,1.4135314863084656,14295.0
Amaroo,Gungahlin,2914,-35.169587,149.1280212,1.1067987082092285,726.0
Aranda,Belconnen,2614,-35.2580548,149.0804262,4.783947837934029,3044.7333344232666
Banks,Tuggeranong,2906,-35.4718891,149.0996568,5.702030557076247,655.0
Barton,South Canberra,2600,-35.3072631,149.1404986,1.2947511442469177,3044.7333344232666
Belconnen,Belconnen,2616,-35.2274338,149.0431454,0.0,3044.7333344232666
Bonner,Gungahlin,2914,-35.1559621,149.1429557,3.0938179328963966,683.5
Bonython,Tuggeranong,2905,-35.4333083,149.078276,1.8592367521573174,687.5
Braddon,North Canberra,2612,-35.2708149,149.135735,0.771686419983411,3044.7333344232666
Bruce,Belconnen,2617,-35.2453517,149.0916334,4.2751458206856485,3044.7333344232666
Calwell,Tuggeranong,2905,-35.4403858,149.1071069,2.549109443657001,677.5
Campbell,North Canberra,2612,-35.2913397,149.158176,3.6834729929058185,14565.0
Capital Hill,South Canberra,2600,-35.3081804,149.1244213,1.0860577959413114,3044.7333344232666
Casey,Gungahlin,2913,-35.1670015,149.0947152,2.9431629834549318,679.0
Chapman,Weston Creek,2611,-35.3562094,149.0374543,1.7057238530273418,6954.724983933244
Charnwood,Belconnen,2615,-35.2001777,149.0341356,3.139327193486398,1119.3280624726776
Chifley,Woden Valley,2606,-35.3532951,149.0768898,1.6023803882536674,6688.004946198507
Chisholm,Tuggeranong,2905,-35.4219655,149.1248452,2.9661223116947135,685.5
City,North Canberra,2601,-35.2812678,149.1291868,1.9020937895620917,3044.7333344232666
Conder,Tuggeranong,2906,-35.4592733,149.1043282,4.399306823311447,648.0
Cook,Belconnen,2614,-35.2601034,149.0663657,4.20037934147278,3044.7333344232666
Coombs,Molonglo Valley,2611,-35.3167344,149.0425254,1.6235475390018002,788.5
Crace,Gungahlin,2911,-35.2028802,149.1074742,3.04705940222438,776.0
Curtin,Woden Valley,2605,-35.3246324,149.0773776,3.1866272447900608,6244.0
Deakin,South Canberra,2600,-35.3192746,149.1030764,2.584545849500172,15165.0
Denman Prospect,Molonglo Valley,2611,-35.2964152,149.0248095,1.154764825864888,658.7984932047982
Dickson,North Canberra,2602,-35.2527861,149.1417216,1.5353471493977873,1898.8601059804353
Downer,North Canberra,2602,-35.2438315,149.1435455,2.4940323930026156,952.5
Duffy,Weston Creek,2611,-35.3345516,149.0318996,1.7454545585556671,789.0
Dunlop,Belconnen,2615,-35.1939974,149.0198014,4.280315706287971,659.0
Evatt,Belconnen,2617,-35.211832,149.068948,2.9161019311739884,739.0
Fadden,Tuggeranong,2904,-35.4018617,149.1176101,3.1382065304960105,600.1200849031562
Farrer,Woden Valley,2607,-35.3766895,149.1050381,3.1455447425447676,6222.5
Fisher,Weston Creek,2611,-35.3612627,149.0568756,2.1504636015599163,763.0
Florey,Belconnen,2615,-35.2257904,149.0501748,0.6641345810324061,732.0
Flynn,Belconnen,2615,-35.2058369,149.0440634,2.4029165958139673,727.5
Forde,Gungahlin,2914,-35.168224,149.1460688,2.35681467123601,782.5
Forrest,South Canberra,2603,-35.3172087,149.1248559,0.5966170019815706,3044.7333344232666
Franklin,Gungahlin,2913,-35.1994538,149.1433014,2.9021831528435746,730.0
Fraser,Belconnen,2615,-35.1917124,149.0453179,3.9769448245000865,3044.7333344232666
Fyshwick,South Canberra,2609,-35.3216575,149.1708774,3.641686438274268,3044.7333344232666
Garran,Woden Valley,2605,-35.3413973,149.1085392,1.6163447003941962,8988.465271660607
Gilmore,Tuggeranong,2905,-35.4150113,149.1382782,4.2337771542241285,674.5
Giralang,Belconnen,2617,-35.2109388,149.0959916,4.361992531819264,776.0
Gordon,Tuggeranong,2906,-35.4567263,149.0850656,4.026384199512485,665.0
Gowrie,Tuggeranong,2904,-35.4118165,149.1091063,1.8447409751974768,3044.7333344232666
Greenway,Tuggeranong,2900,-35.4158082,149.0648149,2.5414426439708055,3044.7333344232666
